Module URL,Start New Sequence?,Start New Atom?,Learning Objective Description,Concepts,Type,Title,Atom Type,Quiz?,Atom Header,Atom Body,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Correct Answer,Learnosity JSON,General Explanation,Author,Source URL,License
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(9 - 5x^{-1/6} - 5x^{-1/7}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= 9 - 5x^{-1/6} - 5x^{-1/7} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(9 - 5x^{-1/6} - 5x^{-1/7}\right)&= -\frac{d}{dx}\left(5x^{-1/6}\right)-\frac{d}{dx}\left(5x^{-1/7}\right)+\frac{d}{dx}\left(9\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 8x^{1/7} + 6 - 8x^{-4/3}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= - 8x^{1/7} + 6 - 8x^{-4/3} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(- 8x^{1/7} + 6 - 8x^{-4/3}\right)&= -\frac{d}{dx}\left(8x^{1/7}\right)-\frac{d}{dx}\left(8x^{-4/3}\right)+\frac{d}{dx}\left(6\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(-5 + 2x^{-1/3} - 10x^{-1/8}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= -5 + 2x^{-1/3} - 10x^{-1/8} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(-5 + 2x^{-1/3} - 10x^{-1/8}\right)&= -\frac{d}{dx}\left(10x^{-1/8}\right)+\frac{d}{dx}\left(2x^{-1/3}\right)-\frac{d}{dx}\left(5\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(9 + 5x^{-1/4} + 5x^{-9/7}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= 9 + 5x^{-1/4} + 5x^{-9/7} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(9 + 5x^{-1/4} + 5x^{-9/7}\right)&= \frac{d}{dx}\left(5x^{-1/4}\right)+\frac{d}{dx}\left(5x^{-9/7}\right)+\frac{d}{dx}\left(9\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(-5 + 10x^{-1/2} - 6x^{-1/7}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= -5 + 10x^{-1/2} - 6x^{-1/7} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(-5 + 10x^{-1/2} - 6x^{-1/7}\right)&= \frac{d}{dx}\left(10x^{-1/2}\right)-\frac{d}{dx}\left(6x^{-1/7}\right)-\frac{d}{dx}\left(5\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 6x^{4} - 5 - 7x^{-1/2}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= - 6x^{4} - 5 - 7x^{-1/2} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(- 6x^{4} - 5 - 7x^{-1/2}\right)&= -\frac{d}{dx}\left(6x^{4}\right)-\frac{d}{dx}\left(7x^{-1/2}\right)-\frac{d}{dx}\left(5\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 6x^{2/3} - 4x^{-1/2}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= - 6x^{2/3} - 4x^{-1/2} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(- 6x^{2/3} - 4x^{-1/2}\right)&= -\frac{d}{dx}\left(6x^{2/3}\right)-\frac{d}{dx}\left(4x^{-1/2}\right)+\frac{d}{dx}\left(0\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(5 - 6x^{-1} - 5x^{-2/9}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= 5 - 6x^{-1} - 5x^{-2/9} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(5 - 6x^{-1} - 5x^{-2/9}\right)&= -\frac{d}{dx}\left(5x^{-2/9}\right)-\frac{d}{dx}\left(6x^{-1}\right)+\frac{d}{dx}\left(5\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 9x + 5x^{-6/7}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= - 9x + 5x^{-6/7} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(- 9x + 5x^{-6/7}\right)&= -\frac{d}{dx}\left(9x\right)+\frac{d}{dx}\left(5x^{-6/7}\right)+\frac{d}{dx}\left(0\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 6x^{-3/2} + 7x^{-4/3}\right)$_. ,,,,,,,, ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": "" "", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": "" "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>sum and difference rules</b> for derivatives state that the derivative of the sum or difference of two functions is equal to the sum or difference of their derivative. In math notation this means that if $_h(x) = f(x)\pm g(x)$_, then$$\frac{d}{dx}(h(x))= \frac{d}{dx}(f(x))\pm\frac{d}{dx}(g(x)).$$</li><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, where $_n$_ is a non-zero integer, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>Applying the sum and difference rules to the given function gives $$\begin{align}f(x) &= - 6x^{-3/2} + 7x^{-4/3} \\[5pt] \frac{d}{dx}f(x) &= \frac{d}{dx}\left(- 6x^{-3/2} + 7x^{-4/3}\right)&= \frac{d}{dx}\left(7x^{-4/3}\right)-\frac{d}{dx}\left(6x^{-3/2}\right)+\frac{d}{dx}\left(0\right)\end{align}$$ </p><p>Applying the constant rule to take the constants outside of the derivatives and using the fact that the derivative of a constant is zero, we have\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
